TS|CO2|NO2
1577887200|602.200|1.973
1577887260|599.917|2.270
1577887320|598.083|2.842
1577887380|596.600|2.590
1577887440|599.083|2.692
1577887500|608.233|2.613
1577887560|608.900|2.650
1577887620|610.233|2.847
1577887680|604.217|3.310
1577887740|599.383|3.425
1577887800|600.383|3.768
1577887860|602.233|4.247
1577887920|596.183|4.173
1577887980|596.183|3.967
1577888040|601.750|4.290
1577888100|602.917|4.412
1577888160|609.383|3.577
1577888220|608.667|2.862
1577888280|606.633|2.710
1577888340|612.733|2.852
1577888400|615.167|2.617
1577888460|621.533|2.450
1577888520|620.450|2.132
1577888580|617.550|2.082
1577888640|622.700|2.690
1577888700|627.717|2.397
1577888760|624.250|3.010
1577888820|627.983|3.347
1577888880|632.833|4.012
1577888940|633.400|2.990
1577889000|636.350|3.077
1577889060|640.417|3.080
1577889120|644.483|2.813
1577889180|647.550|3.008
1577889240|657.383|3.150
1577889300|658.900|2.940
1577889360|649.167|2.732
1577889420|645.483|2.522
1577889480|644.250|2.508
1577889540|655.067|3.018
1577889600|655.050|3.020
1577889660|651.400|3.397
1577889720|657.533|3.693
1577889780|659.100|3.720
1577889840|669.267|3.600
1577889900|660.217|3.408
1577889960|658.800|3.762
1577890020|657.800|3.410
1577890080|657.417|2.397
1577890140|663.717|3.250
1577890200|666.100|3.807
1577890260|656.133|4.333
1577890320|652.883|3.730
1577890380|656.083|3.553
1577890440|652.550|2.992
1577890500|650.633|2.573
1577890560|648.000|3.183
1577890620|650.950|3.458
1577890680|658.917|4.538
1577890740|665.983|4.735
1577890800|672.000|4.500
