product_id,product,package,package_unit,subcategory,category,price
PRD-2379449757,Margarine,500.0,gram,Zuivel,Levensmiddelen,0.99
PRD-4243567932,Halfvolle melk,1.0,liter,Zuivel,Levensmiddelen,1.19
PRD-2339945852,Halfvolle melk,1.5,liter,Zuivel,Levensmiddelen,1.99
PRD-9201717665,Volle melk,1.0,liter,Zuivel,Levensmiddelen,1.29
PRD-2983486300,Magere Yoghurt,1.0,liter,Zuivel,Levensmiddelen,1.19
PRD-8485924360,Volle Yoghurt,1.0,liter,Zuivel,Levensmiddelen,1.29
PRD-6369560548,Volkoren spagheti,500.0,gram,Graanproducten,Levensmiddelen,2.09
PRD-5436586436,Volkoren brood,1.0,heel,Graanproducten,Levensmiddelen,1.29
PRD-3511729810,Volkoren brood,1.0,half,Graanproducten,Levensmiddelen,0.79
PRD-1467670880,Wit brood,1.0,heel,Graanproducten,Levensmiddelen,0.99
PRD-2003172735,Wit brood,1.0,half,Graanproducten,Levensmiddelen,0.69
PRD-2153058415,Witte druiven,500.0,gram,Fruit,Levensmiddelen,2.79
PRD-3212965604,Appels,8.0,stuks,Fruit,Levensmiddelen,2.79
PRD-2154404090,Peren,4.0,stuks,Fruit,Levensmiddelen,2.99
PRD-6730097512,Komkommer,1.0,stuks,Groenten,Levensmiddelen,1.39
PRD-9754799456,Tomaten,500.0,gram,Groenten,Levensmiddelen,2.49
PRD-0873188194,Sla krop,1.0,stuks,Groenten,Levensmiddelen,1.59
PRD-7832268154,Sla gesneden,200.0,gram,Groenten,Levensmiddelen,1.19
PRD-5499729245,Bier,1.0,krat,Alcoholische dranken,Levensmiddelen,14.17
PRD-3592204158,Rode wijn,1.0,liter,Alcoholische dranken,Levensmiddelen,6.99
PRD-8955809870,Witte wijn,1.0,liter,Alcoholische dranken,Levensmiddelen,5.29
PRD-2433643525,Shampoo,0.3,liter,Haarproducten,Persoonlijke verzorging,6.49
PRD-6765766263,Handgel,0.3,liter,Hygiene producten,Persoonlijke verzorging,2.99
PRD-2026211351,Tandpasta,0.075,liter,Hygiene producten,Persoonlijke verzorging,2.75
