transaction_id,line_nr,customer_id,product_id,transaction_date,quantity,price,total
TX-0446425698,1,CST-9288059867,PRD-5436586436,2023-01-01,3,1.29,3.87
TX-0446425698,2,CST-9288059867,PRD-6369560548,2023-01-01,1,2.09,2.09
TX-0446425698,3,CST-9288059867,PRD-9754799456,2023-01-01,1,2.49,2.49
TX-0276807125,1,CST-4003338959,PRD-6730097512,2023-01-01,1,1.39,1.39
TX-0276807125,2,CST-4003338959,PRD-5436586436,2023-01-01,2,1.29,2.58
TX-0276807125,3,CST-4003338959,PRD-9201717665,2023-01-01,3,1.29,3.87
TX-0276807125,4,CST-4003338959,PRD-8485924360,2023-01-01,4,1.29,5.16
TX-1320698130,1,CST-3038688731,PRD-2026211351,2023-01-01,2,2.75,5.5
TX-1320698130,2,CST-3038688731,PRD-3511729810,2023-01-01,2,0.79,1.58
TX-3136317538,1,CST-5752690156,PRD-2983486300,2023-01-01,1,1.19,1.19
TX-3136317538,2,CST-5752690156,PRD-9754799456,2023-01-01,1,2.49,2.49
TX-3136317538,3,CST-5752690156,PRD-5436586436,2023-01-01,1,1.29,1.29
TX-3136317538,4,CST-5752690156,PRD-3592204158,2023-01-01,1,6.99,6.99
TX-8205580541,1,CST-9288059867,PRD-5499729245,2023-01-01,2,14.17,28.34
TX-8205580541,2,CST-9288059867,PRD-4243567932,2023-01-01,1,1.19,1.19
TX-8205580541,3,CST-9288059867,PRD-0873188194,2023-01-01,1,1.59,1.59
TX-8205580541,4,CST-9288059867,PRD-2026211351,2023-01-01,1,2.75,2.75
TX-4345411421,1,CST-9288059867,PRD-2379449757,2023-01-01,2,0.99,1.98
TX-4345411421,2,CST-9288059867,PRD-7832268154,2023-01-01,1,1.19,1.19
TX-0751953072,1,CST-7590351788,PRD-0873188194,2023-01-01,5,1.59,7.95
TX-0751953072,2,CST-7590351788,PRD-5499729245,2023-01-01,2,14.17,28.34
TX-0751953072,3,CST-7590351788,PRD-2339945852,2023-01-01,3,1.99,5.97
TX-0751953072,4,CST-7590351788,PRD-2026211351,2023-01-01,5,2.75,13.75
TX-0751953072,5,CST-7590351788,PRD-5436586436,2023-01-01,5,1.29,6.45
TX-8262913495,1,CST-3182863933,PRD-2379449757,2023-01-01,6,0.99,5.94
TX-0204519464,1,CST-0359930777,PRD-2026211351,2023-01-01,1,2.75,2.75
TX-0204519464,2,CST-0359930777,PRD-3592204158,2023-01-01,2,6.99,13.98
TX-0204519464,3,CST-0359930777,PRD-4243567932,2023-01-01,1,1.19,1.19
TX-5171303624,1,CST-6476753653,PRD-2026211351,2023-01-01,1,2.75,2.75
TX-5171303624,2,CST-6476753653,PRD-6369560548,2023-01-01,1,2.09,2.09
TX-3564382908,1,CST-0077565548,PRD-8485924360,2023-01-01,1,1.29,1.29
TX-3564382908,2,CST-0077565548,PRD-0873188194,2023-01-01,2,1.59,3.18
TX-2907070890,1,CST-8173757628,PRD-2153058415,2023-01-01,1,2.79,2.79
TX-2907070890,2,CST-8173757628,PRD-2433643525,2023-01-01,1,6.49,6.49
TX-2907070890,3,CST-8173757628,PRD-3212965604,2023-01-01,2,2.79,5.58
TX-2907070890,4,CST-8173757628,PRD-2339945852,2023-01-01,1,1.99,1.99
TX-5482503656,1,CST-0528275463,PRD-2026211351,2023-01-01,1,2.75,2.75
TX-2415407554,1,CST-1314090480,PRD-0873188194,2023-01-01,6,1.59,9.54
TX-2415407554,2,CST-1314090480,PRD-8955809870,2023-01-01,3,5.29,15.87
TX-2415407554,3,CST-1314090480,PRD-2153058415,2023-01-01,4,2.79,11.16
TX-2415407554,4,CST-1314090480,PRD-8955809870,2023-01-01,3,5.29,15.87
TX-2928678941,1,CST-4889753930,PRD-1467670880,2023-01-01,1,0.99,0.99
TX-2928678941,2,CST-4889753930,PRD-8955809870,2023-01-01,4,5.29,21.16
TX-8617421914,1,CST-4053644174,PRD-2433643525,2023-01-01,1,6.49,6.49
TX-3649131842,1,CST-4809386251,PRD-2153058415,2023-01-01,1,2.79,2.79
TX-3649131842,2,CST-4809386251,PRD-6369560548,2023-01-01,3,2.09,6.27
TX-3649131842,3,CST-4809386251,PRD-1467670880,2023-01-01,3,0.99,2.97
TX-3649131842,4,CST-4809386251,PRD-3212965604,2023-01-01,2,2.79,5.58
TX-3649131842,5,CST-4809386251,PRD-2003172735,2023-01-01,2,0.69,1.38
TX-2141169540,1,CST-6085547380,PRD-2379449757,2023-01-01,1,0.99,0.99
TX-2141169540,2,CST-6085547380,PRD-2433643525,2023-01-01,4,6.49,25.96
