TIME;TEMP;HUM
2020-01-01 14:00:00;20.1;40.0
2020-01-01 14:00:01;20.2;39.8
2020-01-01 14:00:02;20.3;40.0
2020-01-01 14:00:03;20.4;40.0
2020-01-01 14:00:04;20.3;40.0
2020-01-01 14:00:05;20.3;39.8
2020-01-01 14:00:06;20.4;39.6
2020-01-01 14:00:07;20.5;39.8
2020-01-01 14:00:08;20.5;39.6
2020-01-01 14:00:09;20.4;39.4
2020-01-01 14:00:10;20.3;39.6
2020-01-01 14:00:11;20.2;39.8
2020-01-01 14:00:12;20.2;40.0
2020-01-01 14:00:13;20.2;39.8
2020-01-01 14:00:14;20.2;39.6
2020-01-01 14:00:15;20.2;39.6
2020-01-01 14:00:16;20.3;39.8
2020-01-01 14:00:17;20.3;40.0
2020-01-01 14:00:18;20.2;39.8
2020-01-01 14:00:19;20.3;40.0
2020-01-01 14:00:20;20.3;39.8
2020-01-01 14:00:21;20.4;40.0
2020-01-01 14:00:22;20.4;40.0
2020-01-01 14:00:23;20.5;40.2
2020-01-01 14:00:24;20.6;40.4
2020-01-01 14:00:25;20.7;40.4
2020-01-01 14:00:26;20.8;40.6
2020-01-01 14:00:27;20.8;40.6
2020-01-01 14:00:28;20.7;40.4
2020-01-01 14:00:29;20.6;40.4
2020-01-01 14:00:30;20.5;40.6
2020-01-01 14:00:31;20.5;40.6
2020-01-01 14:00:32;20.6;40.6
2020-01-01 14:00:33;20.7;40.6
2020-01-01 14:00:34;20.7;40.4
2020-01-01 14:00:35;20.7;40.6
2020-01-01 14:00:36;20.7;40.8
2020-01-01 14:00:37;20.6;40.6
2020-01-01 14:00:38;20.6;40.8
2020-01-01 14:00:39;20.7;41.0
2020-01-01 14:00:40;20.7;40.8
2020-01-01 14:00:41;20.6;40.8
2020-01-01 14:00:42;20.6;41.0
2020-01-01 14:00:43;20.7;41.0
2020-01-01 14:00:44;20.7;41.2
2020-01-01 14:00:45;20.6;41.0
2020-01-01 14:00:46;20.7;41.2
2020-01-01 14:00:47;20.6;41.4
2020-01-01 14:00:48;20.6;41.6
2020-01-01 14:00:49;20.6;41.8
2020-01-01 14:00:50;20.5;41.6
2020-01-01 14:00:51;20.4;41.4
2020-01-01 14:00:52;20.4;41.4
2020-01-01 14:00:53;20.5;41.4
2020-01-01 14:00:54;20.5;41.6
2020-01-01 14:00:55;20.5;41.8
2020-01-01 14:00:56;20.6;42.0
2020-01-01 14:00:57;20.5;41.8
2020-01-01 14:00:58;20.4;41.6
2020-01-01 14:00:59;20.4;41.8
2020-01-01 14:01:00;20.5;42.0
2020-01-01 14:01:01;20.4;41.8
2020-01-01 14:01:02;20.4;42.0
2020-01-01 14:01:03;20.5;41.8
2020-01-01 14:01:04;20.5;41.6
2020-01-01 14:01:05;20.5;41.4
